	id	name	light	number	address	activate	no_available	total_bases	dock_bikes	free_bases	reservations_count	geometry.type	geometry.coordinates
209	215	207 - Remonta	2	207	Calle Azucenas nº 1	1	0	18	12	6	0	Point	[-3.6973333, 40.4630277]
210	216	208 - Plaza de Castilla	0	208	Paseo de la Castellana nº 216	1	0	24	4	19	0	Point	[-3.6886388, 40.4663611]
211	217	209 - Plaza de Castilla 2	2	209	Paseo Castellana (Fundación Canal)	1	0	24	9	13	0	Point	[-3.6887722, 40.4656779]
212	218	210 - Tres Cruces	3	210	Calle Tres Cruces nº 7	1	1	27	0	0	0	Point	[-3.7026735, 40.419674]
213	219	211 - Desengaño	1	211	Calle Desengaño nº 1	1	0	24	23	0	0	Point	[-3.70239, 40.42059]
214	220	212 - Marqués de Vadillo	0	212	Glorieta Marqués de Vadillo nº 9	1	0	24	2	19	0	Point	[-3.716591, 40.398247]
215	221	213 - Glorieta de Cádiz	1	213	Calle Antonio López nº 129	1	0	24	18	5	0	Point	[-3.70017, 40.38895]
216	222	214 - Condesa de Venadito	2	214	Calle Condesa de Venadito nº 2	1	0	24	10	12	1	Point	[-3.65741, 40.44315]
217	223	215 - Gutierre de Cetina	0	215	Calle Gutierre de Cetina nº 77	1	0	24	6	18	0	Point	[-3.640994, 40.429706]
218	224	216 - Puerta del Ángel	2	216	Plaza Puerta del Ángel nº 4	1	0	24	14	7	0	Point	[-3.728318, 40.413764]
219	225	217 - Pedro Rico	0	217	Calle Pedro Rico nº 4	1	0	24	0	21	0	Point	[-3.688463, 40.481086]
220	226	218 - Camino Vinateros	2	218	Calle Camino de los Vinateros nº 28	1	0	24	16	8	0	Point	[-3.65779, 40.41053]
221	227	219 - Marroquina	1	219	Calle Camino de los Vinateros nº 108	1	0	24	16	6	0	Point	[-3.646697, 40.408264]
222	228	220 - Plaza del Encuentro	1	220	Calle Arroyo de las Pilillas nº 6	1	0	24	16	6	1	Point	[-3.65122, 40.40617]
223	229	221 - Pavones	1	221	Calle Hacienda de Pavones nº 342	1	0	24	16	6	0	Point	[-3.634587, 40.400368]
224	230	222 - Antonio López	1	222	Calle Eugenio Caxes frente al nº 12	1	0	24	18	4	0	Point	[-3.7026789, 40.3917871]
225	231	223 - Ermita Santo	0	223	Paseo de la Ermita del Santo nº 48	1	0	24	5	17	0	Point	[-3.7244893989507686, 40.406837862773465]
226	232	224 - Caramuel	0	224	Calle Caramuel nº 51	1	0	24	5	17	1	Point	[-3.728533714316331, 40.40913630273305]
227	233	225 - Doctor Lozano	2	225	Calle Sierra Toledana nº 33	1	0	24	9	15	0	Point	[-3.660188083470652, 40.40248333540473]
228	234	226 - Sierra Toledana	1	226	Camino de Valderribas nº 94	1	0	24	19	3	0	Point	[-3.6607768678037744, 40.39901531507069]
229	236	227 - Concordia	1	227	Calle Arroyo del Olivar nº 6	1	0	24	21	0	0	Point	[-3.6659362429356372, 40.39382977920336]
230	235	228 - San Delfín	1	228	Calle San Delfín nº 9	1	0	24	17	7	0	Point	[-3.7080429728445563, 40.39440607959559]
231	237	229 - C.D. Concepción	1	229	Calle Jose del Hierro nº 5	1	0	24	19	4	0	Point	[-3.64835857929032, 40.43715089959262]
232	238	230 - Carlota O’Neill	2	230	Calle Carlota O'Neill nº 32	1	0	24	13	10	0	Point	[-3.648958444298144, 40.44370542379883]
233	239	231 - Derechos Humanos	0	231	Calle Derechos Humanos nº 12	1	0	24	6	17	0	Point	[-3.6557656204708775, 40.43965673033275]
234	240	232 - José María Pereda	1	232	Calle José María de Pereda nº 1	1	0	24	19	3	0	Point	[-3.6485306152875148, 40.43272086245887]
235	241	233 - Marqués de Corbera 12	2	233	Avenida Marqués de Corbera nº 12	1	0	24	15	9	0	Point	[-3.6555552857442697, 40.422962108947424]
236	242	234 - Marqués de Corbera 52	1	234	Avenida Marqués de Corbera nº 52	1	0	24	18	6	0	Point	[-3.651034981803642, 40.426207143200884]
237	243	235 - Embajadores 191	2	235	Calle Sodio nº 1B	1	0	24	11	13	0	Point	[-3.6903589643353483, 40.389258643579105]
238	244	236 - Paseo Imperial	2	236	Paseo Imperial nº 20	1	0	24	12	11	0	Point	[-3.7172213778842007, 40.40765396169372]
239	245	237 - Pablo Iglesias	0	237	Calle Francisco Balseiro nº 1	1	0	24	1	22	0	Point	[-3.710525, 40.451333]
240	246	238 - San Germán 5	0	238	Calle San Germán nº 5	1	0	24	3	19	0	Point	[-3.6929376751795306, 40.45619382579544]
241	247	239 - Francos Rodríguez	0	239	Calle Francos Rodríguez nº 62	1	0	24	3	21	0	Point	[-3.708002730875242, 40.45673408797698]
242	248	240 - Avenida Brasilia	0	240	Avenida de Brasilia frente al nº 9	1	0	24	6	16	0	Point	[-3.66096, 40.43666]
243	249	241 - Camilo José Cela	2	241	Avenida de Camilo José Cela nº 23	1	0	24	12	6	0	Point	[-3.66779, 40.4378]
244	250	242 - Avenida Bruselas	2	242	Avenida Bruselas nº 56	1	0	24	11	12	0	Point	[-3.66301, 40.43865]
245	251	243 - Cartagena	0	243	Calle Cartagena nº 34	1	0	24	1	23	0	Point	[-3.67012, 40.43503]
246	252	244 - Hospital Clínico	0	244	Calle Isaac Peral nº 44	1	0	24	4	17	1	Point	[-3.71757, 40.44003]
247	253	245 - Galileo	2	245	Calle Galileo nº 63	1	0	24	13	11	0	Point	[-3.71019, 40.4364]
248	254	246 - Santa Engracia 87	2	246	Calle Santa Engracia nº 87	1	0	24	9	10	0	Point	[-3.69928, 40.43604]
249	270	247 - Zurbano	2	247	Calle Zurbano nº 90	1	0	24	7	15	0	Point	[-3.69281, 40.43837]
250	256	248 - Torre Cepsa	2	248	Calle Sinesio Delgado nº 2	1	0	24	11	12	0	Point	[-3.68797, 40.47435]
251	257	249 - Manuel Caldeiro	2	249	Paseo de la Castellana nº 298	1	0	24	11	11	0	Point	[-3.68532, 40.47938]
252	258	250 - Serrano 113	2	250	Calle Serrano nº 113B	1	0	24	8	14	0	Point	[-3.68609, 40.44106]
253	259	251 - Corazón de María	0	251	Calle Santa Hortensia nº 31	1	0	24	5	16	0	Point	[-3.66683, 40.44421]
254	260	252 - Chamartín	3	252	Calle Rodríguez Jaén nº 40	1	1	24	7	13	0	Point	[-3.68391, 40.4716]
255	261	253 - Doctor Fleming	2	253	Calle Doctor Fleming nº 7	1	0	21	8	11	0	Point	[-3.68844, 40.45546]
256	262	254 - Pío XII	1	254	Avenida Pío XII nº 3	1	0	24	17	6	0	Point	[-3.67712, 40.46041]
257	263	255 - López Pozas	0	255	Calle General López Pozas nº 2	1	0	24	5	19	0	Point	[-3.68514, 40.46361]
258	264	256 - Reina Victoria	2	256	Calle Beatriz de Bobadilla frente al nº 2	1	0	24	7	14	0	Point	[-3.71383, 40.44635]
259	265	257 - INEF	0	257	Avenida Juan de Herrera frente a la calle Paul Guinard	1	0	24	3	19	0	Point	[-3.72997, 40.43896]
260	266	258 - Ciudad Universitaria 1	2	258	Avenida de la Complutense (Metro Ciudad Universitaria)	1	0	24	9	14	0	Point	[-3.72699, 40.44375]
261	267	259 - Ciudad Universitaria 2	2	259	Avenida de la Complutense (Metro Ciudad Universitaria)	1	0	24	12	10	0	Point	[-3.72693, 40.44342]
262	268	260 - Facultad Biología	2	260	Calle José Antonio Novais frente al nº 12	1	0	24	12	10	0	Point	[-3.7272945, 40.4483322]
263	269	261 - Facultad Derecho	2	261	Avenida Complutense nº 23	1	0	24	8	16	0	Point	[-3.72937, 40.45109]
